id,Country,State,Location_Name,Pop_Total,Pop_Males,Pop_Females,Lit_total,Lit_Males,Lit_Females,Sex_Ratio,Literacy_rate_total,Literacy_rate_Males,Literacy_rate_Females
1,India,JAMMU & KASHMIR,Srinagar ,1273312,677260,596052,797481,464086,333395,880,71.45,78.24,63.74
2,India,PUNJAB,Ludhiana ,1613878,874773,739105,1230218,691161,539057,845,85.38,88.35,81.85
3,India,PUNJAB,Amritsar ,1183705,630114,553591,904190,495804,408386,879,84.64,87.46,81.44
4,India,CHANDIGARH,Chandigarh ,1025682,563127,462555,789436,455276,334160,821,86.56,90.65,81.55
5,India,HARYANA,Faridabad ,1404653,750446,654207,1042168,592024,450144,872,84.88,90.44,78.53
6,India,NCT OF DELHI,Delhi ,16314838,8739213,7575625,12448848,7025273,5423575,867,86.43,91.05,81.11
7,India,RAJASTHAN,Jaipur ,3073350,1619280,1454070,2272724,1282140,990584,898,84.34,90.61,77.41
8,India,RAJASTHAN,Jodhpur ,1137815,599332,538483,807733,462139,345594,898,81.01,88.01,73.22
9,India,RAJASTHAN,Kota ,1001365,529795,471570,738795,422767,316028,890,83.65,90.56,75.90
10,India,UTTAR PRADESH,Kanpur ,2920067,1584967,1335100,2228473,1235685,992788,842,83.98,85.73,81.89
11,India,UTTAR PRADESH,Lucknow ,2901474,1518951,1382523,2212850,1200843,1012007,910,84.72,87.86,81.26
12,India,UTTAR PRADESH,Ghaziabad ,2358525,1256783,1101742,1922992,992243,930749,877,93.81,91.05,96.95
13,India,UTTAR PRADESH,Agra ,1746467,942441,804026,992644,570593,422051,853,64.61,69.21,59.28
14,India,UTTAR PRADESH,Varanasi ,1435113,761060,674053,1026032,573353,452679,886,80.31,84.67,75.39
15,India,UTTAR PRADESH,Meerut ,1424908,754857,670051,977188,552000,425188,888,78.29,83.74,72.19
16,India,UTTAR PRADESH,Allahabad ,1216719,655734,560985,950676,535385,415291,856,86.06,89.84,81.63
